id,title,description,max_players,user_id,rating_id,image_url,,,,,,,,,,,,,,
1,Super Mario Bros.,"Players control Mario, or his brother Luigi in the multiplayer mode, as they travel the Mushroom Kingdom to rescue Princess Toadstool from Bowser (King Koopa). They traverse side-scrolling stages while avoiding hazards such as enemies and pits with the aid of power-ups such as the Super Mushroom, Fire Flower and Starman.",2,1,1,https://en.wikipedia.org/wiki/Super_Mario_Bros.#/media/File:Super_Mario_Bros._box.png,,,,,,,,,,,,,,
2,The Legend of Zelda,"Set in the fantasy land of Hyrule, the plot centers on an elf-like boy named Link, who aims to collect the eight fragments of the Triforce of Wisdom in order to rescue Princess Zelda from the antagonist, Ganon.",1,1,1,https://en.wikipedia.org/wiki/The_Legend_of_Zelda#/media/File:Zelda_2017.svg,,,,,,,,,,,,,,
3,Mike Tyson's Punch-Out!,"Punch-Out!! features a boxer known as Little Mac, fighting his way up through ranks of the World Video Boxing Association.",1,1,1,https://en.wikipedia.org/wiki/Punch-Out!!_(NES)#/media/File:Punch-out_mrdream_boxart.PNG,,,,,,,,,,,,,,
4,Mega Man 2,"Mega Man 2 is a platform and action game like its predecessor, Mega Man. The player controls Mega Man as he traverses eight stages to defeat the bosses, Dr. Wily's Robot Masters: Metal Man, Air Man, Bubble Man, Quick Man, Crash Man, Flash Man, Heat Man, and Wood Man.",1,1,1,https://en.wikipedia.org/wiki/Mega_Man_2#/media/File:Megaman2_box.jpg,,,,,,,,,,,,,,
5,Ninja Gaiden,Ninja Gaiden features a ninja named Ryu Hayabusa who seeks revenge for the death of his father and gradually finds himself involved in a sinister plot that threatens the entire world.,1,1,1,https://en.wikipedia.org/wiki/Ninja_Gaiden#/media/File:Ninja_Gaiden_logo.png,,,,,,,,,,,,,,
6,Super Mario Bros. 3,"Super Mario Bros. 3 is a two-dimensional, side-scrolling platform game in which the player controls either Mario or Luigi. The game shares similar gameplay mechanics with previous games in the series.",2,1,1,https://en.wikipedia.org/wiki/Super_Mario_Bros._3#/media/File:Super_Mario_Bros._3_coverart.png,,,,,,,,,,,,,,
7,Prince of Persia,"The game is set in medieval Persia. While the sultan is fighting a war in a foreign land, his vizier Jaffar, a wizard, seizes power. His only obstacle to the throne is the Sultan's daughter. Jaffar locks her in a tower and orders her to become his wife, or she would die within 60 minutes.",1,1,1,https://en.wikipedia.org/wiki/Prince_of_Persia#/media/File:Princeofpersialogo.jpg,,,,,,,,,,,,,,
8,SimCity,"The objective of SimCity is to build and design a city, without specific goals to achieve.",1,1,2,https://en.wikipedia.org/wiki/SimCity#/media/File:Logo_of_SimCity.png,,,,,,,,,,,,,,
9,The Secret of Monkey Island,"The Secret of Monkey Island is a 2D adventure game played from a third-person perspective. Via a point-and-click interface, the player guides protagonist Guybrush Threepwood through the game's world and interacts with the environment by selecting from twelve verb commands (nine in newer versions) such as talk to"" for communicating with characters and ""pick up"" for collecting items between commands and the world's objects in order to successfully solve puzzles and thus progress in the game.""",1,1,2,https://en.wikipedia.org/wiki/The_Secret_of_Monkey_Island#/media/File:The_Secret_of_Monkey_Island_artwork.jpg,,,,,,,,,,,,,,
10,Super Mario World,"Super Mario World is a side-scrolling platform game in which the player controls Mario or Luigi, the protagonists of the game. The game has similar gameplay to earlier games in the Super Mario series.",2,1,1,https://en.wikipedia.org/wiki/Super_Mario_World#/media/File:Super_Mario_World_Coverart.png,,,,,,,,,,,,,,
11,Civilization,"Civilization is a turn-based single or multiplayer strategy game. The player takes on the role of the ruler of a civilization, starting with one (or occasionally two) settler units, and attempts to build an empire in competition with two to seven other civilizations. The game requires a fair amount of micromanagement (although less than other simulation games).",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
12,The Legend of Zelda: A Link to the Past,"The story is officially set many years before the events of the first two Zelda games. The player assumes the role of Link as he journeys to save Hyrule, defeat the demon king Ganon, and rescue the descendants of the Seven Sages.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
13,Lemmings,"The objective of the game is to guide a group of anthropomorphised lemmings through a number of obstacles to a designated exit. To save the required number of lemmings to win, one must determine how to assign a limited number of eight different skills to specific lemmings that allow the selected lemming to alter the landscape, to affect the behaviour of other lemmings, or to clear obstacles to create a safe passage for the rest of the lemmings.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
14,Monkey Island 2: LeChuck's Revenge,"Monkey Island 2: LeChuck's Revenge is an adventure game developed and published by LucasArts in 1991. A sequel to 1990's The Secret of Monkey Island, it is the second game in the Monkey Island series.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
15,Sonic the Hedgehog,"Sonic the Hedgehog is a 2D side-scrolling platform game. The gameplay centers on Sonic the Hedgehog's ability to run at high speed through levels that include springs, slopes, bottomless pits, and vertical loops.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
16,Street Fighter II,"Street Fighter II: The World Warrior is a competitive fighting game developed by Capcom and originally released for arcades in 1991. It is the second installment in the Street Fighter series and the sequel to Street Fighter, released in 1987.",2,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
17,Dune II,"The player takes the role of the commander of one of the three interplanetary houses, the Atreides, the Harkonnen or the Ordos, with the objective of wresting control of Arrakis from the other two houses.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
18,Sonic the Hedgehog 2,"Sonic the Hedgehog 2 is a 2D side-scrolling platform game.[1] The game stars Sonic the Hedgehog and his sidekick, Miles Tails"" Prower"," who is described as having idolized Sonic as a child and wanting to keep up with him.""",2,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,
19,Super Mario Kart,"Super Mario Kart is a kart racing game featuring several single and multiplayer modes. During the game, players take control of one of eight Mario franchise characters, each with differing capabilities,[3] and drive karts around tracks with a Mario franchise theme.",2,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
20,Wolfenstein 3D,"Wolfenstein 3D is a first-person shooter presented with rudimentary 3D graphics.[1] The game is broken up into levels, each of which is a flat plane divided into areas and rooms by a grid-based pattern of walls and doors, all of equal height.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
21,Day of the Tentacle,"Day of the Tentacle follows the point-and-click two-dimensional adventure game formula, first established by the original Maniac Mansion. Players direct the controllable characters around the game world by clicking with the computer mouse.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
22,Doom,"Doom is a first-person shooter presented with early 3D graphics. The player controls an unnamed space marine—later termed Doomguy""—through a series of levels set in military bases on the moons of Mars and in Hell. To finish a level"," the player must traverse through the area to reach a marked exit room.""",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,
23,The Legend of Zelda: Link's Awakening,Link's Awakening is an action-adventure game focused on exploration and combat. The majority of the game takes place from an overhead perspective. The player traverses the overworld of Koholint Island while fighting monsters and exploring underground dungeons.,1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
24,Sam & Max Hit the Road,Sam & Max Hit the Road is a 2D adventure game where the player controls the actions of Sam from a third-person perspective. The player uses Sam to explore the pre-rendered cartoon environments of the game and solve a series of puzzles using a simple point-and-click interface.,1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
25,Secrets of Mana,"Secret of Mana displays a top-down perspective, in which the player characters navigate the terrain and fight off hostile creatures.",3,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
26,SimCity 2000,"SimCity 2000 is played from an isometric perspective as opposed to the previous title, which was played from a top-down perspective. The objective of the game is to create a city, develop residential and industrial areas, build infrastructure and collect taxes for further development of the city.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
27,Star Fox,"Star Fox is a rail shooter in a third-person and first-person 3D perspective. The player must navigate Fox's spacecraft, an Arwing, through environments while various enemies (spaceships, robots, creatures, etc.) attack them. Along the way, various power-ups are placed in the stage to help the player. The player receives a score at the end of each level based on how many enemies have been destroyed and how well the player has defended their teammates. At the end of each level there is a boss that the player must defeat before progressing to the next level.",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
28,Donkey Kong Country,"Donkey Kong Country is a side-scrolling platform game in which the player must complete 40 levels to recover the Kongs' banana hoard, which has been stolen by the crocodilian Kremlings.",2,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
29,Doom II,"Doom II, also known as Doom II: Hell on Earth, is a first-person shooter game by id Software.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
30,EarthBound,"EarthBound features many traditional role-playing game elements: the player controls a party of characters who travel through the game's two-dimensional world composed of villages, cities, caves, and dungeons.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
31,Final Fantasy VI,"Like previous Final Fantasy installments, Final Fantasy VI consists of four basic modes of gameplay: an overworld map, town and dungeon field maps, a battle screen, and a menu screen. The overworld map is a scaled-down version of the game's fictional world, which the player uses to direct characters to various locations. ",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
32,Star Wars: TIE Fighter,"The game's plot begins soon after the Empire's victory on Hoth in The Empire Strikes Back. As with X-Wing, the player's character is unnamed in the game; however, an included novella and Prima Publishing's strategy guide name the character Maarek Stele and provide a background narrative. In addition to fighting Rebel Alliance forces, the player fights pirates, combatants in a civil war, and traitorous Imperial forces. ",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
33,Super Metroid,"Super Metroid is a 2D, side-scrolling action-adventure game, which primarily takes place on the fictional planet Zebes from the original game—a large, open-ended world with areas connected by doors and elevators.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
34,Command & Conquer,"Command & Conquer involves players operating as one of two playable factions on a map - the Global Defense Initiative (GDI), and the Brotherhood of Nod - developing bases, gathering resources and using them to produce troops, and then defeating their opponents by eliminating their army and either destroying or capturing their base.",4,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
35,Warcraft II: Tides of Darkness,"Warcraft II is a real-time strategy game. In Warcraft II one side represents the human inhabitants of Lordaeron and allied races, and the other controls the invading orcs and their allied races. Each side tries to destroy the other by collecting resources and creating an army. The game is played in a medieval setting with fantasy elements, where both sides have melee, ranged, naval and aerial units, and spellcasters.  ",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
36,Wipeout,"Set in 2052, players compete in the F3600 anti-gravity racing league, piloting one of a selection of craft in races on several tracks around the world.",2,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
37,Yoshi's Island,"Yoshi's Island is a 2D side-scrolling platform game. In the Super Mario series platform game tradition, the player controls Yoshi with a two-button run and jump control scheme. The player navigates between platforms and atop some foes en route to the end of the increasingly difficult levels. The player controls one of many Yoshis, which take turns traveling through 48 levels across six worlds to rescue Baby Luigi and reunite the brothers.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
38,Civilization II,"As a turn-based strategy game, Civilization II realistically models the historical development of human civilization. A player, when creating a game, may pick one of 21 historical civilizations or a custom-named civilization. The computer will intelligently control multiple rival civilizations.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
39,Duke Nukem 3D,"As a first-person shooter whose gameplay is similar to Doom, the gameplay of Duke Nukem 3D involves moving through levels presented from the protagonist's point of view, shooting enemies on the way. The environments in Duke Nukem 3D are highly destructible and interactive; most props can be destroyed by the player.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
40,Pokemon Red and Blue,"Pokémon Red and Blue are played in a third-person view, overhead perspective and consist of three basic screens: an overworld, in which the player navigates the main character; a side-view battle screen; and a menu interface, in which the player configures his or her Pokémon, items, or gameplay settings.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
41,Quake,"Players explore levels, facing monsters and finding secret areas before reaching an exit. Switches or keys open doors, and reaching the exit takes the player to the next level. Before accessing an episode, there is a set of three pathways with easy, medium, and hard skill levels.",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
42,Resident Evil,The player's character is a member of a special law enforcement task force who is trapped in a mansion populated by dangerous mutated creatures. The objective of the game is to uncover the mystery of the mansion and ultimately escape alive.,1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
43,Super Mario 64,Super Mario 64 is a 3D platform game in which the player controls Mario through various courses. Mario's abilities in Super Mario 64 are far more diverse than those of previous Mario games.,1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
44,Tomb Raider,"omb Raider is an action-adventure video game in which the player assumes the role of archaeologist-adventurer Lara Croft, who navigates through a series of ancient ruins and tombs in search of an ancient artefact.",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
45,Wave Racer 64,"Wave Race 64 is a racing game in which players race on Jet Skis in different weather conditions and on a variety of courses. The game features three single-player modes (Championship, Time Trials, and Stunt Mode) as well as a multiplayer mode for competitive play.",4,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
46,Castlevania: Symphony of the Night,"Symphony of the Night uses 2-dimensional side-scrolling gameplay.[6] The objective is exploring Dracula's castle to defeat an entity named Shaft who is controlling Richter Belmont, the self-proclaimed lord of the castle and hero of the events which took place in Castlevania: Rondo of Blood.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
47,Diablo,Diablo is an action role-playing video game. The player moves and interacts with the environment primarily by way of a mouse.,1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
48,Fallout,"Fallout is a 1997 role-playing video game developed and published by Interplay Productions. The game has a post-apocalyptic and chiefly retro-futuristic setting, taking place in the mid-22nd century decades after a global nuclear war.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
49,Final Fantasy VII,"The game features three modes of play: the world map, the field, and the battle screen.  At its grandest scale, players explore the entire world of Final Fantasy VII on a 3D world map.",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
50,GoldenEye 007,"GoldenEye 007 is a first-person shooter where the player takes the role of Secret Intelligence Service agent James Bond through a series of levels. In each level, the player must complete a set of objectives while computer-controlled opponents try to hinder the player's progress.",4,1,5,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
51,Gran Turismo,Gran Turismo is a racing game. The player must maneuver a car to compete against artificially intelligent drivers on various race tracks.,1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
52,Quake II,"Quake II is a first-person shooter, in which the player shoots enemies from the perspective of the main character. The gameplay is very similar to that featured in Quake, in terms of movement and controls, although the player's movement speed has been slowed down, and the player now has the ability to crouch. ",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
53,Star Fox 64,"Star Fox 64 is a 3D rail shooter game in which the player controls one of the vehicles piloted by Fox McCloud, usually an Arwing. Most of the game takes place in Corridor Mode"""," which forces Fox's vehicle down an on-rails path straight forward through the environment.""",4,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,
54,Star Wars Jedi Knight: Dark Forces,"Jedi Knight is primarily a first-person shooter, although it does offer the choice of a third-person view. The game consists of twenty-one levels with objectives which the player must complete before being able to continue to the next level. There are weapons available in each level and after level three, the player has the use of a lightsaber, along with the Force.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
55,Fallout 2,"Fallout 2 is a role-playing open-world video game. The player is free to move at will until they enter into combat. Combat gives them a number of action points to move, fire, check their equipment, reload and the like.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
56,Half-Life,"Half-Life is a first-person shooter that requires the player to perform combat tasks and puzzle solving to advance through the game. Unlike most of its peers at the time, Half-Life uses scripted sequences, such as a Vortigaunt ramming down a door, to advance major plot points.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
57,The Legend of Zelda: Ocarina of Time,"The Legend of Zelda: Ocarina of Time is a fantasy action-adventure game set in an expansive environment. The player controls series protagonist Link from a third-person perspective in a three-dimensional world. Link primarily fights with a sword and shield, but can also use other weapons such as projectiles, bombs, and magic spells.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
58,Metal Gear Solid,"The player must navigate the protagonist, Solid Snake, through a nuclear weapons facility without being detected by enemies.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
59,Resident Evil 2,"A survival horror game, Resident Evil 2 features the same basic gameplay mechanics as its predecessor, Resident Evil. The player explores a fictional city while solving puzzles and fighting monsters.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
60,StarCraft,"Set in a fictitious future timeline during the 25th century AD in a distant part of the Milky Way galaxy known as the Koprulu Sector, the game revolves around three intelligent species fighting for dominance: the Terrans are humans exiled from Earth who are now skilled at adapting to any situation; the Zerg are a race of insectoid aliens in pursuit of genetic perfection and obsessed with assimilating other races; the Protoss are a humanoid species with advanced technology and psionic abilities who are attempting to preserve their civilization and strict philosophy about their way of life from the Zerg.",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
61,Age of Empires II,"Age of Empires II is a real-time strategy game that focuses on building towns, gathering resources, and creating armies to defeat opponents. Players conquer rival towns and empires as they advance one of 13 civilizations through four Ages"": the Dark Age", the Feudal Age, the Castle Age (representing the High Middle Ages),and the Imperial Age (reminiscent of the Renaissance)—a 1,"000-year timeframe.""",1,1,2,https://i.imgur.com/a3H171W.png,,,,,,,,,,
62,EverQuest,"Many of the elements in EverQuest have been drawn from text-based MUD (Multi-User Dungeon) games, particularly DikuMUDs, which in turn were inspired by traditional role-playing games such as Dungeons & Dragons.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
63,Quake III: Arena,"Unlike its predecessors, Quake III Arena does not have a plot-based single-player campaign. Instead, it simulates the multiplayer experience with computer-controlled players known as bots. The game's story is brief: the greatest warriors of all time fight for the amusement of a race called the Vadrigar in the Arena Eternal.""",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
64,Shenmue,"The player controls teenage martial artist Ryo Hazuki as he investigates his father's murder in Yokosuka in 1986. They must explore the open world, searching for clues, examining objects and talking to non-player characters. Occasionally, Ryo battles opponents in fighting sequences similar to Sega's Virtua Fighter series.",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
65,Silent Hill,"The objective of the player is to guide main protagonist and player character Harry Mason through a monster-filled town as he searches for his lost daughter, Cheryl. Silent Hill's gameplay consists of combat, exploration, and puzzle-solving.",1,1,5,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
66,Unreal Tournament,"Unreal Tournament is an arena first-person shooter, with head-to-head multiplayer deathmatches being the primary focus of the game. The single-player campaign is a series of arena matches played with bots, where the player competes for the title of Grand Champion.",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
67,Counter Strike,"Counter-Strike is a first-person shooter game in which players join either the terrorist team, the counter-terrorist team, or become spectators. Each team attempts to complete their mission objective and/or eliminate the opposing team. Each round starts with the two teams spawning simultaneously. All players have only one life by default and start with a pistol as well as a knife.",1,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
68,Diablo II,"Diablo II's storyline progresses through four chapters or Acts"". Each act follows a predetermined path", but the wilderness areas and dungeons between key cities are randomly generated. The player progresses through the story by completing a series of quests within each act," while there are also optional side dungeons for extra monsters and experience.""",1,1,4,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,
69,The Legend of Zelda: Majora's Mask,"The gameplay of Majora's Mask expands on that of Ocarina of Time. It retains the concept of dungeon puzzles and ocarina songs and introduces new elements including character transformations and a three-day cycle. As in previous installments, Link can perform basic actions such as walking, running and limited jumping (although sometimes Link performs flips), and must use items to battle enemies and solve puzzles.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
70,The Sims,"The structure of the game is an agent-based artificial life program. The presentation of the game's artificial intelligence is advanced, and the Sims will respond to outside conditions independently, though often the player's intervention is necessary to keep the Sims on the right track.",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
71,Tony Hawk's Pro Skater 2,"Tony Hawk's Pro Skater 2 puts the player in control of a professional or fictional skater and takes place in a third-person view with a fixed camera. The player must perform tricks and complete level objectives in return for cash rewards, which can be used to unlock other levels, improve the player character's statistics and obtain better equipment.",2,1,3,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,,
72,Animal Crossing,"Animal Crossing is a social simulation game, dubbed a communication game"" by Nintendo. It is open-ended"," and the player's character can live a separate life with very little set plot or mandatory tasks. Players assume the role of a new resident to the town""",1,1,1,https://i.imgur.com/a3H171W.png,,,,,,,,,,,,,
73,Devil May Cry,"The gameplay consists of levels called missions""", where players must fight numerous enemies, perform platforming tasks, and occasionally solve puzzles to progress through the story. The player's performance in each mission is given a letter grade, starting with D, increasing to C, B, and A, with an additional top grade of S. Grades are based on the time taken to complete the mission," the amount of ""red orbs"" gathered (the in-game currency obtained from defeated enemies", destroyed objects, and exploration)," how ""stylish"" their combat was", item usage," and damage taken.""",1,1,4,https://i.imgur.com/a3H171W.png
